plant_fut_SZ,seed_SZ,HTp
futCM11,LF11,0.6804534925
futCM11,LF12,0.6689399355
futCM11,LF13,0.5164984117
futCM11,LF14,0.4926684839
futCM11,LF15,0.525231814
futCM11,LF21,0.4547567453
futCM11,LF22,0.4539222515
futCM11,LF23,0.4060019445
futCM11,M11,0.5083860943
futCM11,M21,0.3756244221
futCM11,M22,0.5237347317
futCM11,M32,0.4329165769
futCM11,M41,0.3742689406
futCM11,M42,0.2455975147
futCM11,M43,0.4105736505
futCM11,M44,0.3857263086
futCM11,M45,0.3845942261
futCM11,M51,0.3222195741
futCM11,M53,0.3194200969
futCM11,M54,0.3233676488
futCM11,M55,0.3413802858
futCM11,M56,0.2983388042
futCM11,MG11,0.6183298622
futCM11,MG12,0.5209575812
futCM11,MG13,0.5781520249
futCM11,NF11,0.7721570626
futCM11,NM11,0.8107403216
futCM11,NM21,0.7529445346
futCM11,PAD11,0.9052796564
futCM11,PRP11,0.824330383
futCM11,SA11,0.2453949961
futCM11,SA12,0.2287722047
futCM11,SA21,0.1369204712
futCM11,SA22,0.1316557969
futCM11,SA31,0.2067362714
futCM11,SA32,0.247935478
futCM11,SA33,0.2157277639
futCM11,SA41,0.1274592923
futCM11,SA42,0.1628291916
futCM11,SA43,0.1370953051
futCM11,UBH11,0.7106713107
futCM11,UBH12,0.7613094197
futCM11,UBH13,0.6407489022
futCM11,UF11,0.3573447479
futCM11,UF12,0.3859612031
futCM11,UF13,0.3508580942
futCM11,UF14,0.3514961198
futCM11,UF15,0.36340315
futCM11,UF24,0.2983727672
futCM11,UF25,0.2816674797
futCM12,AP11,0.8512298147
futCM12,BSA11,0.5637188082
futCM12,BSA12,0.5962935621
futCM12,CM11,0.8289501525
futCM12,CM12,0.9026573263
futCM12,CM13,0.8543707331
futCM12,CM21,0.891849332
futCM12,CM22,0.8796387938
futCM12,CM23,0.8822710471
futCM12,CM24,0.8694109474
futCM12,CM31,0.8644236147
futCM12,CM32,0.8100179195
futCM12,CM33,0.80284054
futCM12,CM34,0.7187479736
futCM12,CM35,0.6537266968
futCM12,CP11,0.8485589972
futCM12,CP12,0.8051347362
futCM12,DM11,0.9174760169
futCM12,DM12,0.8771381534
futCM12,DM13,0.8522301734
futCM12,DM21,0.8905862471
futCM12,DM22,0.8034602997
futCM12,DM23,0.619280501
futCM12,DMG11,0.6997118813
futCM12,FF11,0.6158836857
futCM12,FP11,0.5316146589
futCM12,FP12,0.3932751251
futCM12,KU11,0.7109703163
futCM12,LBH11,0.7980290701
futCM12,LBH12,0.6919227172
futCM12,LBH13,0.7708289199
futCM12,LBH14,0.8185445814
futCM12,LBH15,0.8001522462
futCM12,LBH16,0.7936983879
futCM12,LBH21,0.6563135367
futCM12,LF11,0.7224741993
futCM12,LF12,0.7198536768
futCM12,LF13,0.5873023107
futCM12,LF14,0.5631353068
futCM12,LF15,0.6004771665
futCM12,LF21,0.5228308202
futCM12,LF22,0.5242738937
futCM12,LF23,0.4672535236
futCM12,M11,0.5566602017
futCM12,M21,0.4276857677
futCM12,M22,0.560140083
futCM12,M32,0.4783487615
futCM12,M41,0.4127814393
futCM12,M42,0.278732571
futCM12,M43,0.4593445825
futCM12,M44,0.443483655
futCM12,M45,0.4432608314
futCM12,M51,0.3544014003
futCM12,M53,0.3600953433
futCM12,M54,0.3724850188
futCM12,M55,0.3964946474
futCM12,M56,0.3531292522
futCM12,MG11,0.6791114999
futCM12,MG12,0.5754492567
futCM12,MG13,0.6164114174
futCM12,NF11,0.8168847213
futCM12,NM11,0.7261735404
futCM12,NM21,0.6884590413
futCM12,PAD11,0.8324949675
futCM12,PRP11,0.8543432836
