plant_SZ,seed_SZ,GS
CM12,UBH11,0.644271746
CM12,UBH12,0.708516663
CM12,UBH13,0.607278978
CM12,UF11,0.340427419
CM12,UF12,0.361386191
CM12,UF13,0.324014948
CM12,UF14,0.312821417
CM12,UF15,0.308378595
CM12,UF24,0.251275781
CM12,UF25,0.229003376
CM13,AP11,0.877353175
CM13,BSA11,0.569958594
CM13,BSA12,0.60627849
CM13,CM11,0.854230622
CM13,CM12,0.927959172
CM13,CM13,0.883764428
CM13,CM21,0.905217673
CM13,CM22,0.890858143
CM13,CM23,0.891618659
CM13,CM24,0.858143416
CM13,CM31,0.829689372
CM13,CM32,0.755092989
CM13,CM33,0.769075103
CM13,CM34,0.653205523
CM13,CM35,0.544824368
CM13,CP11,0.744074386
CM13,CP12,0.668749399
CM13,DM11,0.94265856
CM13,DM12,0.878875391
CM13,DM13,0.818282341
CM13,DM21,0.823640159
CM13,DM22,0.719261982
CM13,DM23,0.493382828
CM13,DMG11,0.505006181
CM13,FF11,0.435612462
CM13,FP11,0.388954237
CM13,FP12,0.238781587
CM13,KU11,0.727959378
CM13,LBH11,0.826019801
CM13,LBH12,0.71255212
CM13,LBH13,0.782486337
CM13,LBH14,0.834033664
CM13,LBH15,0.784747757
CM13,LBH16,0.804575393
CM13,LBH21,0.672559003
CM13,LF11,0.686187391
CM13,LF12,0.67791712
CM13,LF13,0.510043279
CM13,LF14,0.481617651
CM13,LF15,0.495649286
CM13,LF21,0.430913112
CM13,LF22,0.413809295
CM13,LF23,0.351645247
CM13,M11,0.383032444
CM13,M21,0.350245852
CM13,M22,0.472186158
CM13,M32,0.393151085
CM13,M41,0.321867398
CM13,M42,0.199819617
CM13,M43,0.340052649
CM13,M44,0.312504301
CM13,M45,0.293261275
CM13,M51,0.271030986
CM13,M53,0.259862703
CM13,M54,0.25647926
CM13,M55,0.262760841
CM13,M56,0.218486199
CM13,MG11,0.481178143
CM13,MG12,0.360900225
CM13,MG13,0.42119049
CM13,NF11,0.667203095
