plant_SZ,seed_SZ,GS
CM11,KU11,0.731913932
CM11,LBH11,0.784002758
CM11,LBH12,0.684135501
CM11,LBH13,0.733867608
CM11,LBH14,0.779675988
CM11,LBH15,0.739004304
CM11,LBH16,0.752171268
CM11,LBH21,0.650303138
CM11,LF11,0.657237712
CM11,LF12,0.661383151
CM11,LF13,0.527610622
CM11,LF14,0.504673317
CM11,LF15,0.520210664
CM11,LF21,0.45773727
CM11,LF22,0.44456043
CM11,LF23,0.38633036
CM11,M11,0.433748094
CM11,M21,0.383162832
CM11,M22,0.493227338
CM11,M32,0.415886488
CM11,M41,0.349218724
CM11,M42,0.232835025
CM11,M43,0.373768009
CM11,M44,0.352898098
CM11,M45,0.341030192
CM11,M51,0.300902293
CM11,M53,0.293632498
CM11,M54,0.295387129
CM11,M55,0.307327132
CM11,M56,0.266684674
CM11,MG11,0.554359444
CM11,MG12,0.458586685
CM11,MG13,0.497189897
CM11,NF11,0.702319552
CM11,NM11,0.741051893
CM11,NM21,0.686715303
CM11,PAD11,0.843714153
CM11,PRP11,0.797688672
CM11,SA11,0.256050475
CM11,SA12,0.227284938
CM11,SA21,0.147986492
CM11,SA22,0.136321231
CM11,SA31,0.198975752
CM11,SA32,0.226051474
CM11,SA33,0.19603289
CM11,SA41,0.12764235
CM11,SA42,0.153537379
CM11,SA43,0.129719675
CM11,UBH11,0.662780566
CM11,UBH12,0.714597743
CM11,UBH13,0.617941246
CM11,UF11,0.378776995
CM11,UF12,0.396041252
CM11,UF13,0.364152181
CM11,UF14,0.35114447
CM11,UF15,0.346828308
CM11,UF24,0.293694157
CM11,UF25,0.272070876
CM12,AP11,0.78556171
CM12,BSA11,0.509190608
CM12,BSA12,0.533123055
CM12,CM11,0.762874177
CM12,CM12,0.841498559
CM12,CM13,0.787605505
CM12,CM21,0.831406641
CM12,CM22,0.820297098
CM12,CM23,0.824864913
CM12,CM24,0.815238962
CM12,CM31,0.809320696
CM12,CM32,0.774366071
CM12,CM33,0.769357397
CM12,CM34,0.701272425
CM12,CM35,0.634868288
