plant_SZ,seed_SZ,GS
CM23,CP11,0.908805761
CM23,CP12,0.85533763
CM23,DM11,0.91404169
CM23,DM12,0.943800664
CM23,DM13,0.943410362
CM23,DM21,0.947143128
CM23,DM22,0.903214212
CM23,DM23,0.741466831
CM23,DMG11,0.640115157
CM23,FF11,0.668241489
CM23,FP11,0.635726693
CM23,FP12,0.484069856
CM23,KU11,0.700811791
CM23,LBH11,0.835650058
CM23,LBH12,0.745254485
CM23,LBH13,0.86264739
CM23,LBH14,0.899454363
CM23,LBH15,0.910062084
CM23,LBH16,0.893686357
CM23,LBH21,0.710648169
CM23,LF11,0.866789547
CM23,LF12,0.86121115
CM23,LF13,0.752544489
CM23,LF14,0.727971295
CM23,LF15,0.746369743
CM23,LF21,0.685964591
CM23,LF22,0.67403127
CM23,LF23,0.607765044
CM23,M11,0.60270736
CM23,M21,0.591679863
CM23,M22,0.683758816
CM23,M32,0.631024156
CM23,M41,0.557888577
CM23,M42,0.419167734
CM23,M43,0.582764067
CM23,M44,0.562965714
CM23,M45,0.538080646
CM23,M51,0.497965796
CM23,M53,0.494717921
CM23,M54,0.497746779
CM23,M55,0.505202187
CM23,M56,0.455316249
CM23,MG11,0.677239356
CM23,MG12,0.546114833
CM23,MG13,0.602151244
CM23,NF11,0.821425026
CM23,NM11,0.720239721
CM23,NM21,0.721769292
CM23,PAD11,0.812655836
CM23,PRP11,0.935328443
CM23,SA11,0.447906196
CM23,SA12,0.41023503
CM23,SA21,0.29279752
CM23,SA22,0.27365958
CM23,SA31,0.371194941
CM23,SA32,0.406007816
CM23,SA33,0.364542507
CM23,SA41,0.260922403
CM23,SA42,0.300821313
CM23,SA43,0.265079391
CM23,UBH11,0.798501394
CM23,UBH12,0.85019656
CM23,UBH13,0.810384398
CM23,UF11,0.597595486
CM23,UF12,0.621680845
CM23,UF13,0.580155294
CM23,UF14,0.572293593
CM23,UF15,0.566594763
CM23,UF24,0.50144983
CM23,UF25,0.474370482
CM24,AP11,0.800482611
CM24,BSA11,0.61114329
CM24,BSA12,0.599112087
CM24,CM11,0.753662845
CM24,CM12,0.858792073
CM24,CM13,0.8118152
CM24,CM21,0.905413005
CM24,CM22,0.910265021
CM24,CM23,0.921879444
CM24,CM24,0.94514406
CM24,CM31,0.955687897
CM24,CM32,0.950822266
CM24,CM33,0.943642791
CM24,CM34,0.900162808
CM24,CM35,0.845010679
CM24,CP11,0.93849061
CM24,CP12,0.88907565
CM24,DM11,0.867008873
CM24,DM12,0.929259399
CM24,DM13,0.956359654
CM24,DM21,0.962054881
CM24,DM22,0.941429337
CM24,DM23,0.798944614
CM24,DMG11,0.642754275
CM24,FF11,0.714848419
CM24,FP11,0.685465568
CM24,FP12,0.543169815
CM24,KU11,0.634145451
CM24,LBH11,0.785312411
CM24,LBH12,0.692929899
CM24,LBH13,0.836178148
CM24,LBH14,0.871773229
CM24,LBH15,0.910485448
CM24,LBH16,0.875559648
CM24,LBH21,0.657157679
CM24,LF11,0.887511986
CM24,LF12,0.888628015
CM24,LF13,0.808886458
CM24,LF14,0.78536522
CM24,LF15,0.806685868
CM24,LF21,0.744751348
CM24,LF22,0.734769179
CM24,LF23,0.663225351
CM24,M11,0.633706914
CM24,M21,0.64167057
CM24,M22,0.711815356
CM24,M32,0.671110196
CM24,M41,0.5960008
CM24,M42,0.456794328
CM24,M43,0.625749453
CM24,M44,0.613938232
CM24,M45,0.586736136
CM24,M51,0.531797291
CM24,M53,0.534537249
CM24,M54,0.543539758
CM24,M55,0.551558963
CM24,M56,0.506650178
CM24,MG11,0.708999907
CM24,MG12,0.571686364
CM24,MG13,0.619125656
CM24,NF11,0.838787665
CM24,NM11,0.655061035
CM24,NM21,0.66302969
CM24,PAD11,0.751871963
CM24,PRP11,0.940333334
CM24,SA11,0.492423512
CM24,SA12,0.44741791
CM24,SA21,0.326130953
CM24,SA22,0.301943322
CM24,SA31,0.406512282
