BECvar_site,BECvar_seed,HTp_pred
futCM11,M21,0.36203651
futCM11,M22,0.4966272
futCM11,M32,0.408670293
futCM11,M41,0.346682964
futCM11,M42,0.223252357
futCM11,M43,0.391271556
futCM11,M44,0.375253701
futCM11,M45,0.378976734
futCM11,M51,0.293926748
futCM11,M53,0.297172492
futCM11,M54,0.3083825
futCM11,M55,0.332753486
futCM11,M56,0.293213818
futCM11,MG11,0.640342839
futCM11,MG12,0.551117435
futCM11,MG13,0.584837458
futCM11,NF11,0.77580383
futCM11,NM11,0.714153769
futCM11,NM21,0.655338676
futCM11,PAD11,0.825146245
futCM11,PRP11,0.797392964
futCM11,SA11,0.230480029
futCM11,SA12,0.209209164
futCM11,SA21,0.124768623
futCM11,SA22,0.117665393
futCM11,SA31,0.1881145
futCM11,SA32,0.231206503
futCM11,SA33,0.207105834
futCM11,SA41,0.114006736
futCM11,SA42,0.148694322
futCM11,SA43,0.130470977
futCM11,UBH11,0.630685997
futCM11,UBH12,0.687376693
futCM11,UBH13,0.584818891
futCM11,UF11,0.3501512
futCM11,UF12,0.376815817
futCM11,UF13,0.340866308
futCM11,UF14,0.338384387
futCM11,UF15,0.347368591
futCM11,UF24,0.280479682
futCM11,UF25,0.263658958
futCM12,AP11,0.761154429
futCM12,BSA11,0.468190167
futCM12,BSA12,0.4960408
futCM12,CM11,0.737770207
futCM12,CM12,0.822664335
futCM12,CM13,0.764570678
futCM12,CM21,0.813995769
futCM12,CM22,0.801898042
futCM12,CM23,0.807585357
futCM12,CM24,0.803054473
futCM12,CM31,0.807321655
futCM12,CM32,0.770104108
futCM12,CM33,0.754490821
futCM12,CM34,0.688531538
futCM12,CM35,0.639053474
futCM12,CP11,0.824912683
futCM12,CP12,0.788114064
futCM12,DM11,0.842506895
futCM12,DM12,0.813236306
futCM12,DM13,0.808735204
futCM12,DM21,0.901
futCM12,DM22,0.777860808
futCM12,DM23,0.602367535
futCM12,DMG11,0.705953997
futCM12,FF11,0.613412711
futCM12,FP11,0.511109117
futCM12,FP12,0.38910026
futCM12,KU11,0.611779051
futCM12,LBH11,0.70176535
futCM12,LBH12,0.590352218
futCM12,LBH13,0.681563787
futCM12,LBH14,0.733968771
futCM12,LBH15,0.728671641
futCM12,LBH16,0.714045383
futCM12,LBH21,0.554816107
futCM12,LF11,0.663860969
futCM12,LF12,0.677116755
futCM12,LF13,0.564260726
futCM12,LF14,0.542593145
futCM12,LF15,0.582218068
futCM12,LF21,0.500390172
futCM12,LF22,0.503732464
futCM12,LF23,0.442898703
futCM12,M11,0.53517423
futCM12,M21,0.401656047
futCM12,M22,0.518894819
futCM12,M32,0.440337359
futCM12,M41,0.372788363
futCM12,M42,0.246585634
futCM12,M43,0.426957326
futCM12,M44,0.420426399
futCM12,M45,0.425733198
futCM12,M51,0.315037264
futCM12,M53,0.326426049
futCM12,M54,0.345974486
futCM12,M55,0.3765062
futCM12,M56,0.337738042
futCM12,MG11,0.687892167
futCM12,MG12,0.596165768
futCM12,MG13,0.610807308
futCM12,NF11,0.802840121
futCM12,NM11,0.626513501
futCM12,NM21,0.58628509
futCM12,PAD11,0.742735409
futCM12,PRP11,0.807259929
futCM12,SA11,0.261586149
futCM12,SA12,0.233279705
futCM12,SA21,0.144167623
futCM12,SA22,0.133715444
futCM12,SA31,0.210673421
futCM12,SA32,0.259718889
futCM12,SA33,0.241100389
futCM12,SA41,0.13013016
futCM12,SA42,0.1694412
futCM12,SA43,0.156347763
futCM12,UBH11,0.600548486
futCM12,UBH12,0.661852036
futCM12,UBH13,0.588453703
futCM12,UF11,0.399884478
futCM12,UF12,0.426951282
futCM12,UF13,0.386193251
futCM12,UF14,0.382345973
futCM12,UF15,0.388712952
futCM12,UF24,0.314895848
futCM12,UF25,0.296466675
futCM13,AP11,0.816763327
futCM13,BSA11,0.529279208
futCM13,BSA12,0.559737536
futCM13,CM11,0.794142297
futCM13,CM12,0.901
futCM13,CM13,0.821618283
futCM13,CM21,0.901
futCM13,CM22,0.901
futCM13,CM23,0.901
futCM13,CM24,0.846481769
futCM13,CM31,0.846944133
futCM13,CM32,0.799910975
futCM13,CM33,0.789483727
futCM13,CM34,0.714405261
futCM13,CM35,0.655622263
futCM13,CP11,0.847503408
futCM13,CP12,0.808663245
futCM13,DM11,0.901
futCM13,DM12,0.901
futCM13,DM13,0.842691429
futCM13,DM21,0.901
futCM13,DM22,0.800503637
futCM13,DM23,0.621512638
futCM13,DMG11,0.714014681
futCM13,FF11,0.627715638
futCM13,FP11,0.534315484
futCM13,FP12,0.401343013
futCM13,KU11,0.672844271
futCM13,LBH11,0.763151669
futCM13,LBH12,0.654948544
futCM13,LBH13,0.738357278
futCM13,LBH14,0.789821644
futCM13,LBH15,0.776273676
futCM13,LBH16,0.76870462
futCM13,LBH21,0.619212734
futCM13,LF11,0.704012842
futCM13,LF12,0.712141446
futCM13,LF13,0.585197151
futCM13,LF14,0.562685197
futCM13,LF15,0.600669834
futCM13,LF21,0.5213276
futCM13,LF22,0.523766172
futCM13,LF23,0.465984039
futCM13,M11,0.562351089
futCM13,M21,0.426104535
futCM13,M22,0.555346166
futCM13,M32,0.472907434
futCM13,M41,0.405667882
futCM13,M42,0.271969706
futCM13,M43,0.456554804
futCM13,M44,0.444117625
futCM13,M45,0.447676988
futCM13,M51,0.347109968
futCM13,M53,0.355077851
futCM13,M54,0.3708466
futCM13,M55,0.398983453
futCM13,M56,0.356372713
futCM13,MG11,0.695688784
futCM13,MG12,0.59641193
futCM13,MG13,0.628619261
futCM13,NF11,0.82274272
futCM13,NM11,0.688857542
futCM13,NM21,0.650722128
futCM13,PAD11,0.797756523
futCM13,PRP11,0.84439051
futCM13,SA11,0.282970202
futCM13,SA12,0.256837457
futCM13,SA21,0.159436369
futCM13,SA22,0.149869743
futCM13,SA31,0.232831171
futCM13,SA32,0.283317504
futCM13,SA33,0.258641005
futCM13,SA41,0.145726956
futCM13,SA42,0.187729178
futCM13,SA43,0.168941919
futCM13,UBH11,0.659512962
futCM13,UBH12,0.720065953
futCM13,UBH13,0.63959432
futCM13,UF11,0.418637417
futCM13,UF12,0.447765413
futCM13,UF13,0.407294803
futCM13,UF14,0.405080046
futCM13,UF15,0.413994534
futCM13,UF24,0.339657532
futCM13,UF25,0.32075017
futCM21,AP11,0.74393879
futCM21,BSA11,0.482562973
futCM21,BSA12,0.495690284
futCM21,CM11,0.708764146
futCM21,CM12,0.810122514
futCM21,CM13,0.752227655
futCM21,CM21,0.826437874
futCM21,CM22,0.821142056
futCM21,CM23,0.829183157
futCM21,CM24,0.840388653
futCM21,CM31,0.901
futCM21,CM32,0.833678383
futCM21,CM33,0.815377597
futCM21,CM34,0.761999853
futCM21,CM35,0.719968526
futCM21,CP11,0.901
futCM21,CP12,0.83209334
futCM21,DM11,0.826992558
futCM21,DM12,0.833406023
futCM21,DM13,0.901
futCM21,DM21,0.901
futCM21,DM22,0.841499432
futCM21,DM23,0.677949333
futCM21,DMG11,0.678058193
futCM21,FF11,0.663969709
futCM21,FP11,0.573602592
futCM21,FP12,0.459754766
futCM21,KU11,0.579524635
futCM21,LBH11,0.700076751
futCM21,LBH12,0.591041846
futCM21,LBH13,0.709718379
futCM21,LBH14,0.756891375
futCM21,LBH15,0.775724384
futCM21,LBH16,0.745350816
futCM21,LBH21,0.555511642
futCM21,LF11,0.731430247
futCM21,LF12,0.739798105
futCM21,LF13,0.647605979
futCM21,LF14,0.624388909
futCM21,LF15,0.665069617
futCM21,LF21,0.581119075
futCM21,LF22,0.585040442
futCM21,LF23,0.515355967
futCM21,M11,0.571918886
futCM21,M21,0.467450436
futCM21,M22,0.563886072
futCM21,M32,0.501404844
futCM21,M41,0.430100828
futCM21,M42,0.299691729
futCM21,M43,0.486374071
futCM21,M44,0.48672863
futCM21,M45,0.487827303
futCM21,M51,0.367915643
futCM21,M53,0.383687637
futCM21,M54,0.408134603
futCM21,M55,0.438687589
futCM21,M56,0.402377904
futCM21,MG11,0.708173042
futCM21,MG12,0.600458389
futCM21,MG13,0.61433069
futCM21,NF11,0.816357806
futCM21,NM11,0.597796
futCM21,NM21,0.578262766
futCM21,PAD11,0.711484913
futCM21,PRP11,0.840103865
futCM21,SA11,0.320388223
futCM21,SA12,0.285809715
futCM21,SA21,0.18523086
futCM21,SA22,0.170921326
futCM21,SA31,0.259754638
futCM21,SA32,0.312623013
futCM21,SA33,0.297236295
futCM21,SA41,0.166787899
futCM21,SA42,0.211206975
futCM21,SA43,0.200873866
futCM21,UBH11,0.629785529
futCM21,UBH12,0.690108097
futCM21,UBH13,0.64041222
futCM21,UF11,0.479105284
futCM21,UF12,0.505401928
futCM21,UF13,0.45921302
futCM21,UF14,0.455827985
futCM21,UF15,0.458376382
futCM21,UF24,0.378358557
futCM21,UF25,0.357983442
futCM22,AP11,0.738830308
futCM22,BSA11,0.49026159
futCM22,BSA12,0.498704321
futCM22,CM11,0.700798976
futCM22,CM12,0.806510154
futCM22,CM13,0.749540407
futCM22,CM21,0.829851505
futCM22,CM22,0.827031644
futCM22,CM23,0.83677026
futCM22,CM24,0.852302507
futCM22,CM31,0.864900777
futCM22,CM32,0.85422579
futCM22,CM33,0.835578208
futCM22,CM34,0.787054936
futCM22,CM35,0.747884189
futCM22,CP11,0.887527932
futCM22,CP12,0.849980672
futCM22,DM11,0.822488174
futCM22,DM12,0.842417733
futCM22,DM13,0.868495085
futCM22,DM21,0.90159047
futCM22,DM22,0.862582265
futCM22,DM23,0.706130546
futCM22,DMG11,0.676757355
futCM22,FF11,0.686231372
futCM22,FP11,0.600262678
futCM22,FP12,0.487223705
futCM22,KU11,0.571491779
futCM22,LBH11,0.701603983
futCM22,LBH12,0.59389648
futCM22,LBH13,0.720160169
futCM22,LBH14,0.766574241
futCM22,LBH15,0.792070212
futCM22,LBH16,0.758632637
futCM22,LBH21,0.558594372
futCM22,LF11,0.7544545
futCM22,LF12,0.762992818
futCM22,LF13,0.676615856
futCM22,LF14,0.653355534
futCM22,LF15,0.694355476
futCM22,LF21,0.610881038
futCM22,LF22,0.615240278
futCM22,LF23,0.544351717
futCM22,M11,0.592034252
futCM22,M21,0.493797325
futCM22,M22,0.585260403
futCM22,M32,0.527163476
futCM22,M41,0.454766788
futCM22,M42,0.322011926
futCM22,M43,0.512372078
futCM22,M44,0.514353581
futCM22,M45,0.514109483
futCM22,M51,0.390598777
futCM22,M53,0.408425569
futCM22,M54,0.434391598
futCM22,M55,0.465157445
futCM22,M56,0.428485584
futCM22,MG11,0.720965937
futCM22,MG12,0.609049335
futCM22,MG13,0.623981929
futCM22,NF11,0.826274758
futCM22,NM11,0.591202505
futCM22,NM21,0.578390186
futCM22,PAD11,0.702348398
futCM22,PRP11,0.853139977
futCM22,SA11,0.344281626
futCM22,SA12,0.307652359
futCM22,SA21,0.202432254
futCM22,SA22,0.186736786
futCM22,SA31,0.280515187
futCM22,SA32,0.335443808
futCM22,SA33,0.320265513
futCM22,SA41,0.182443696
futCM22,SA42,0.229430064
futCM22,SA43,0.219429465
futCM22,UBH11,0.641235149
futCM22,UBH12,0.701955304
futCM22,UBH13,0.661232573
futCM22,UF11,0.508183044
futCM22,UF12,0.535113685
futCM22,UF13,0.487363685
futCM22,UF14,0.484486644
futCM22,UF15,0.486635297
futCM22,UF24,0.404479353
futCM22,UF25,0.383459763
futCM23,AP11,0.717996423
futCM23,BSA11,0.479922984
futCM23,BSA12,0.485835794
futCM23,CM11,0.680446736
futCM23,CM12,0.789012602
futCM23,CM13,0.732564615
futCM23,CM21,0.814009442
futCM23,CM22,0.812836156
futCM23,CM23,0.826933253
futCM23,CM24,0.844651811
futCM23,CM31,0.863738552
futCM23,CM32,0.859055385
futCM23,CM33,0.839235169
futCM23,CM34,0.800810661
futCM23,CM35,0.767383995
futCM23,CP11,0.901114207
futCM23,CP12,0.871393621
futCM23,DM11,0.806555811
futCM23,DM12,0.843177403
futCM23,DM13,0.875527664
futCM23,DM21,0.907134844
futCM23,DM22,0.874039492
futCM23,DM23,0.730229302
futCM23,DMG11,0.702102838
futCM23,FF11,0.721482459
futCM23,FP11,0.630366804
futCM23,FP12,0.517227229
futCM23,KU11,0.551365532
futCM23,LBH11,0.686748955
futCM23,LBH12,0.579694889
futCM23,LBH13,0.708420104
futCM23,LBH14,0.759088416
futCM23,LBH15,0.787770211
futCM23,LBH16,0.757327344
futCM23,LBH21,0.544723023
futCM23,LF11,0.75564847
futCM23,LF12,0.777480084
futCM23,LF13,0.693565217
futCM23,LF14,0.672888211
futCM23,LF15,0.714107991
futCM23,LF21,0.631439489
futCM23,LF22,0.637000895
futCM23,LF23,0.568599387
futCM23,M11,0.62577306
futCM23,M21,0.516644846
futCM23,M22,0.609809084
futCM23,M32,0.549364727
futCM23,M41,0.474707537
futCM23,M42,0.336466253
futCM23,M43,0.538034878
futCM23,M44,0.541573887
futCM23,M45,0.544757886
futCM23,M51,0.408113189
futCM23,M53,0.429069679
futCM23,M54,0.458151978
futCM23,M55,0.49348302
futCM23,M56,0.454582437
futCM23,MG11,0.75545485
futCM23,MG12,0.645710351
futCM23,MG13,0.657617768
futCM23,NF11,0.849011757
futCM23,NM11,0.572943753
futCM23,NM21,0.562600552
futCM23,PAD11,0.680530168
futCM23,PRP11,0.861437704
futCM23,SA11,0.361651648
futCM23,SA12,0.32226543
futCM23,SA21,0.213567222
futCM23,SA22,0.196537536
futCM23,SA31,0.294541803
futCM23,SA32,0.355076095
futCM23,SA33,0.340314394
futCM23,SA41,0.192120392
futCM23,SA42,0.243599231
futCM23,SA43,0.234256014
futCM23,UBH11,0.630232099
futCM23,UBH12,0.694668772
futCM23,UBH13,0.666243648
futCM23,UF11,0.52691637
futCM23,UF12,0.555927389
futCM23,UF13,0.508772041
futCM23,UF14,0.504585439
futCM23,UF15,0.508300177
futCM23,UF24,0.423401727
futCM23,UF25,0.401728444
futCM24,AP11,0.666386585
futCM24,BSA11,0.445913792
futCM24,BSA12,0.443977033
futCM24,CM11,0.625197716
futCM24,CM12,0.740528451
futCM24,CM13,0.683482185
futCM24,CM21,0.778858194
futCM24,CM22,0.781622841
futCM24,CM23,0.797409586
futCM24,CM24,0.828592082
futCM24,CM31,0.855414576
futCM24,CM32,0.872334171
futCM24,CM33,0.847307558
futCM24,CM34,0.828406832
futCM24,CM35,0.809296071
futCM24,CP11,0.909664535
futCM24,CP12,0.882261973
futCM24,DM11,0.758825049
futCM24,DM12,0.820722797
futCM24,DM13,0.875408951
futCM24,DM21,0.903328991
futCM24,DM22,0.894387376
futCM24,DM23,0.769048026
futCM24,DMG11,0.679954219
futCM24,FF11,0.747483131
futCM24,FP11,0.660487788
futCM24,FP12,0.561020341
futCM24,KU11,0.495706463
futCM24,LBH11,0.641251765
futCM24,LBH12,0.535977115
futCM24,LBH13,0.679150844
futCM24,LBH14,0.72787966
futCM24,LBH15,0.776958697
futCM24,LBH16,0.735213843
futCM24,LBH21,0.501430278
futCM24,LF11,0.763223638
futCM24,LF12,0.793134722
futCM24,LF13,0.736432815
futCM24,LF14,0.716684462
futCM24,LF15,0.757749888
futCM24,LF21,0.674580487
futCM24,LF22,0.680204131
futCM24,LF23,0.605713555
futCM24,M11,0.634556302
futCM24,M21,0.55255809
futCM24,M22,0.621262348
futCM24,M32,0.572625104
futCM24,M41,0.495085841
futCM24,M42,0.357533883
futCM24,M43,0.561707301
futCM24,M44,0.573600141
futCM24,M45,0.574476836
futCM24,M51,0.42517416
futCM24,M53,0.450853948
futCM24,M54,0.485548632
futCM24,M55,0.52147546
futCM24,M56,0.488922184
futCM24,MG11,0.764655534
futCM24,MG12,0.650465473
futCM24,MG13,0.651138604
futCM24,NF11,0.842075342
futCM24,NM11,0.518601947
futCM24,NM21,0.514634144
futCM24,PAD11,0.624621595
futCM24,PRP11,0.854407358
futCM24,SA11,0.39196597
futCM24,SA12,0.344249362
futCM24,SA21,0.234396458
futCM24,SA22,0.212413747
futCM24,SA31,0.314375595
futCM24,SA32,0.37628886
futCM24,SA33,0.369321607
futCM24,SA41,0.207663745
futCM24,SA42,0.260402118
futCM24,SA43,0.258418707
futCM24,UBH11,0.601636771
futCM24,UBH12,0.665317602
futCM24,UBH13,0.661000473
futCM24,UF11,0.573216312
futCM24,UF12,0.598263178
futCM24,UF13,0.549674501
futCM24,UF14,0.542489468
futCM24,UF15,0.540814902
futCM24,UF24,0.452113125
futCM24,UF25,0.429020539
futCM31,AP11,0.610808479
futCM31,BSA11,0.40536685
futCM31,BSA12,0.400875022
futCM31,CM11,0.571828827
futCM31,CM12,0.688093798
futCM31,CM13,0.632072422
futCM31,CM21,0.728367026
futCM31,CM22,0.733122318
futCM31,CM23,0.753688404
futCM31,CM24,0.790649543
futCM31,CM31,0.828466286
futCM31,CM32,0.859261903
futCM31,CM33,0.829924741
futCM31,CM34,0.832203934
futCM31,CM35,0.82896649
futCM31,CP11,0.91216109
futCM31,CP12,0.897429615
futCM31,DM11,0.709453154
futCM31,DM12,0.794505788
futCM31,DM13,0.862882677
futCM31,DM21,0.890731539
futCM31,DM22,0.895010287
futCM31,DM23,0.795174173
futCM31,DMG11,0.704158616
futCM31,FF11,0.790077585
futCM31,FP11,0.693899484
futCM31,FP12,0.600001075
futCM31,KU11,0.445123761
futCM31,LBH11,0.591567156
futCM31,LBH12,0.488683487
futCM31,LBH13,0.632460825
futCM31,LBH14,0.686076616
futCM31,LBH15,0.743331239
futCM31,LBH16,0.703390018
futCM31,LBH21,0.455294013
futCM31,LF11,0.739911409
futCM31,LF12,0.793851953
futCM31,LF13,0.751859465
futCM31,LF14,0.736539603
futCM31,LF15,0.777946049
futCM31,LF21,0.696058909
futCM31,LF22,0.703199299
futCM31,LF23,0.631711057
futCM31,M11,0.668532958
futCM31,M21,0.579061634
futCM31,M22,0.640176231
futCM31,M32,0.590106249
futCM31,M41,0.509150315
futCM31,M42,0.366454794
futCM31,M43,0.585100748
futCM31,M44,0.602069073
futCM31,M45,0.607414548
futCM31,M51,0.435027001
futCM31,M53,0.466753012
futCM31,M54,0.507412778
futCM31,M55,0.549869757
futCM31,M56,0.517577883
futCM31,MG11,0.806519648
futCM31,MG12,0.700109353
